art_id,entity_text,doc_id,similarity,match_type,type_of_relation
D61F4C69_202BIS,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
D61F4C69_202BIS,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
D61F4C69_215,Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,1.0,name,mencion_ley_oficial
D61F4C69_222BIS,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
D61F4C69_224BIS,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
70FCECA0_1,Ley General de Salud,3148910F,1.0,name,mencion_ley_oficial
491D6477_3,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
491D6477_3,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
491D6477_3,Ley del Sistema Anticorrupcion de la Ciudad de Mexico,3646DA69,1.0,name,mencion_ley_oficial
491D6477_3,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
491D6477_5,Ley Federal de las Entidades Paraestatales,E5C30CC1,1.0,name,mencion_ley_oficial
491D6477_14,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
491D6477_19,Ley del Sistema Anticorrupcion de la Ciudad de Mexico,3646DA69,1.0,name,mencion_ley_oficial
491D6477_26,Ley del Sistema Anticorrupcion de la Ciudad de Mexico,3646DA69,1.0,name,mencion_ley_oficial
491D6477_27,Ley del Sistema Anticorrupcion de la Ciudad de Mexico,3646DA69,1.0,name,mencion_ley_oficial
491D6477_27,Ley del Sistema Anticorrupcion de la Ciudad de Mexico,3646DA69,1.0,name,mencion_ley_oficial
491D6477_27,Ley del Sistema Anticorrupcion de la Ciudad de Mexico,3646DA69,1.0,name,mencion_ley_oficial
491D6477_50,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
491D6477_50,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
491D6477_118,Ley de Justicia Administrativa de la Ciudad de Mexico,81B02B58,1.0,name,mencion_ley_oficial
