art_id,type_of_relation,art_id_buscar
660CBA22_37,auto_referencia_articulo,660CBA22_86
660CBA22_52,auto_referencia_articulo,660CBA22_116
660CBA22_52,auto_referencia_articulo,660CBA22_117
660CBA22_56,auto_referencia_articulo,660CBA22_120
660CBA22_58,auto_referencia_articulo,660CBA22_118
660CBA22_58,auto_referencia_articulo,660CBA22_117
660CBA22_65,auto_referencia_articulo,660CBA22_120
660CBA22_65,auto_referencia_articulo,660CBA22_118
660CBA22_71,auto_referencia_articulo,660CBA22_32
660CBA22_72,auto_referencia_articulo,660CBA22_31
D61F4C69_5,auto_referencia_articulo,D61F4C69_4
D61F4C69_35,auto_referencia_articulo,D61F4C69_110
D61F4C69_41,auto_referencia_articulo,D61F4C69_64
D61F4C69_41BIS,auto_referencia_articulo,D61F4C69_58
D61F4C69_43,auto_referencia_articulo,D61F4C69_60
D61F4C69_46,auto_referencia_articulo,D61F4C69_58
D61F4C69_47,auto_referencia_articulo,D61F4C69_40BIS
D61F4C69_48,auto_referencia_articulo,D61F4C69_40BIS
D61F4C69_50,auto_referencia_articulo,D61F4C69_221
D61F4C69_51,auto_referencia_articulo,D61F4C69_62
D61F4C69_53,auto_referencia_articulo,D61F4C69_213BIS
D61F4C69_56BIS,auto_referencia_articulo,D61F4C69_64
D61F4C69_58BIS,auto_referencia_articulo,D61F4C69_73
D61F4C69_58BIS,auto_referencia_articulo,D61F4C69_40BIS
D61F4C69_58TER,auto_referencia_articulo,D61F4C69_73
D61F4C69_58TER,auto_referencia_articulo,D61F4C69_40BIS
D61F4C69_60,auto_referencia_articulo,D61F4C69_75
D61F4C69_60,auto_referencia_articulo,D61F4C69_92
D61F4C69_62BIS,auto_referencia_articulo,D61F4C69_77
D61F4C69_63,auto_referencia_articulo,D61F4C69_229
D61F4C69_63,auto_referencia_articulo,D61F4C69_230
D61F4C69_89,auto_referencia_articulo,D61F4C69_14
D61F4C69_98,auto_referencia_articulo,D61F4C69_100
D61F4C69_100,auto_referencia_articulo,D61F4C69_98
D61F4C69_100,auto_referencia_articulo,D61F4C69_71QUATER
D61F4C69_101,auto_referencia_articulo,D61F4C69_100
D61F4C69_101,auto_referencia_articulo,D61F4C69_99
D61F4C69_104,auto_referencia_articulo,D61F4C69_102
D61F4C69_114,auto_referencia_articulo,D61F4C69_18
D61F4C69_115,auto_referencia_articulo,D61F4C69_221
D61F4C69_128,auto_referencia_articulo,D61F4C69_16
D61F4C69_133,auto_referencia_articulo,D61F4C69_123
D61F4C69_161,auto_referencia_articulo,D61F4C69_175
D61F4C69_168,auto_referencia_articulo,D61F4C69_221
D61F4C69_186BIS,auto_referencia_articulo,D61F4C69_186
D61F4C69_187,auto_referencia_articulo,D61F4C69_185
D61F4C69_187,auto_referencia_articulo,D61F4C69_186
D61F4C69_188,auto_referencia_articulo,D61F4C69_186
D61F4C69_188,auto_referencia_articulo,D61F4C69_191
D61F4C69_189,auto_referencia_articulo,D61F4C69_185
D61F4C69_189,auto_referencia_articulo,D61F4C69_191
D61F4C69_190,auto_referencia_articulo,D61F4C69_186
D61F4C69_191,auto_referencia_articulo,D61F4C69_193
D61F4C69_192,auto_referencia_articulo,D61F4C69_185
D61F4C69_195,auto_referencia_articulo,D61F4C69_198
D61F4C69_198,auto_referencia_articulo,D61F4C69_185
D61F4C69_198BIS,auto_referencia_articulo,D61F4C69_198
D61F4C69_198BIS,auto_referencia_articulo,D61F4C69_185
D61F4C69_200,auto_referencia_articulo,D61F4C69_224
D61F4C69_201,auto_referencia_articulo,D61F4C69_122
D61F4C69_202,auto_referencia_articulo,D61F4C69_189BIS
D61F4C69_202,auto_referencia_articulo,D61F4C69_191
D61F4C69_202,auto_referencia_articulo,D61F4C69_198
D61F4C69_202BIS,auto_referencia_articulo,D61F4C69_203BIS
D61F4C69_202TER,auto_referencia_articulo,D61F4C69_58
D61F4C69_209,auto_referencia_articulo,D61F4C69_203
D61F4C69_213BIS,auto_referencia_articulo,D61F4C69_65
D61F4C69_215,auto_referencia_articulo,D61F4C69_22
D61F4C69_217,auto_referencia_articulo,D61F4C69_213
D61F4C69_218,auto_referencia_articulo,D61F4C69_215
D61F4C69_219,auto_referencia_articulo,D61F4C69_65
D61F4C69_219,auto_referencia_articulo,D61F4C69_221
D61F4C69_220,auto_referencia_articulo,D61F4C69_221
D61F4C69_221,auto_referencia_articulo,D61F4C69_218BIS
D61F4C69_222,auto_referencia_articulo,D61F4C69_235
D61F4C69_222BIS,auto_referencia_articulo,D61F4C69_221
D61F4C69_224,auto_referencia_articulo,D61F4C69_221
D61F4C69_224,auto_referencia_articulo,D61F4C69_198
D61F4C69_228,auto_referencia_articulo,D61F4C69_62
D61F4C69_229,auto_referencia_articulo,D61F4C69_63
D61F4C69_230,auto_referencia_articulo,D61F4C69_63
491D6477_3,auto_referencia_articulo,491D6477_113
491D6477_3,auto_referencia_articulo,491D6477_90
491D6477_3,auto_referencia_articulo,491D6477_108
491D6477_14,auto_referencia_articulo,491D6477_109
491D6477_14,auto_referencia_articulo,491D6477_9
491D6477_27,auto_referencia_articulo,491D6477_77
491D6477_34,auto_referencia_articulo,491D6477_29
491D6477_37,auto_referencia_articulo,491D6477_52
491D6477_47,auto_referencia_articulo,491D6477_3
491D6477_48,auto_referencia_articulo,491D6477_29
491D6477_48,auto_referencia_articulo,491D6477_33
491D6477_49,auto_referencia_articulo,491D6477_16
491D6477_49,auto_referencia_articulo,491D6477_93
491D6477_50,auto_referencia_articulo,491D6477_75
491D6477_55,auto_referencia_articulo,491D6477_52
491D6477_57,auto_referencia_articulo,491D6477_52
491D6477_61,auto_referencia_articulo,491D6477_52
491D6477_66,auto_referencia_articulo,491D6477_52
491D6477_73,auto_referencia_articulo,491D6477_52
491D6477_74,auto_referencia_articulo,491D6477_100
491D6477_79,auto_referencia_articulo,491D6477_52
491D6477_80,auto_referencia_articulo,491D6477_75
491D6477_81,auto_referencia_articulo,491D6477_24
491D6477_95,auto_referencia_articulo,491D6477_38
491D6477_102,auto_referencia_articulo,491D6477_101
491D6477_106,auto_referencia_articulo,491D6477_109
491D6477_109,auto_referencia_articulo,491D6477_105
491D6477_113,auto_referencia_articulo,491D6477_74
491D6477_173,auto_referencia_articulo,491D6477_169
491D6477_217,auto_referencia_articulo,491D6477_216
491D6477_219,auto_referencia_articulo,491D6477_123
491D6477_228,auto_referencia_articulo,491D6477_123
E622A0D8_16,auto_referencia_articulo,E622A0D8_27
E622A0D8_23,auto_referencia_articulo,E622A0D8_10
69638137_12,auto_referencia_articulo,69638137_38
69638137_12,auto_referencia_articulo,69638137_40
69638137_26,auto_referencia_articulo,69638137_6
69638137_30,auto_referencia_articulo,69638137_9
69638137_38,auto_referencia_articulo,69638137_22
E0644EAF_5,auto_referencia_articulo,E0644EAF_23
E0644EAF_8,auto_referencia_articulo,E0644EAF_22
E0644EAF_14,auto_referencia_articulo,E0644EAF_24
E0644EAF_14,auto_referencia_articulo,E0644EAF_33
E0644EAF_14,auto_referencia_articulo,E0644EAF_28
E0644EAF_14,auto_referencia_articulo,E0644EAF_20
E0644EAF_16,auto_referencia_articulo,E0644EAF_28
E0644EAF_19,auto_referencia_articulo,E0644EAF_14
E0644EAF_20,auto_referencia_articulo,E0644EAF_30
E0644EAF_21,auto_referencia_articulo,E0644EAF_20
E0644EAF_21,auto_referencia_articulo,E0644EAF_33
E0644EAF_24,auto_referencia_articulo,E0644EAF_17
E0644EAF_28,auto_referencia_articulo,E0644EAF_26
E0644EAF_29,auto_referencia_articulo,E0644EAF_34
E0644EAF_29,auto_referencia_articulo,E0644EAF_35
E0644EAF_32,auto_referencia_articulo,E0644EAF_74
E0644EAF_33,auto_referencia_articulo,E0644EAF_31
E0644EAF_38,auto_referencia_articulo,E0644EAF_59
E0644EAF_46,auto_referencia_articulo,E0644EAF_44
E0644EAF_49,auto_referencia_articulo,E0644EAF_59
E0644EAF_56,auto_referencia_articulo,E0644EAF_49
E0644EAF_57,auto_referencia_articulo,E0644EAF_21
E0644EAF_59,auto_referencia_articulo,E0644EAF_20
E0644EAF_59,auto_referencia_articulo,E0644EAF_21
E0644EAF_59,auto_referencia_articulo,E0644EAF_10
E0644EAF_60,auto_referencia_articulo,E0644EAF_21
E0644EAF_62,auto_referencia_articulo,E0644EAF_20
E0644EAF_64,auto_referencia_articulo,E0644EAF_11
E0644EAF_65,auto_referencia_articulo,E0644EAF_11
E0644EAF_65,auto_referencia_articulo,E0644EAF_20
E0644EAF_65,auto_referencia_articulo,E0644EAF_21
