art_id,entity_id,type_of_relation
3F66D749_206,47DEAC86,mencion_entidad_gubernamental_oficial
50BEA374_3,11A7BB35,mencion_entidad_gubernamental_oficial
50BEA374_12,E2EEE4C1,mencion_entidad_gubernamental_oficial
50BEA374_12,919DEC37,mencion_entidad_gubernamental_oficial
50BEA374_12,FBE3F640,mencion_entidad_gubernamental_oficial
50BEA374_12,6EF1024A,mencion_entidad_gubernamental_oficial
50BEA374_12,32A26AD3,mencion_entidad_gubernamental_oficial
50BEA374_12,E9B9C5D2,mencion_entidad_gubernamental_oficial
50BEA374_12,C18252C2,mencion_entidad_gubernamental_oficial
50BEA374_12,19AB6A9B,mencion_entidad_gubernamental_oficial
50BEA374_12,769FDCA1,mencion_entidad_gubernamental_oficial
50BEA374_12,26D0C577,mencion_entidad_gubernamental_oficial
50BEA374_12,625ACAC7,mencion_entidad_gubernamental_oficial
50BEA374_12,14480394,mencion_entidad_gubernamental_oficial
50BEA374_12,E5F1F23C,mencion_entidad_gubernamental_oficial
50BEA374_12,B14717A3,mencion_entidad_gubernamental_oficial
50BEA374_12,B419D508,mencion_entidad_gubernamental_oficial
50BEA374_12,2870C225,mencion_entidad_gubernamental_oficial
50BEA374_12,6EA49C6C,mencion_entidad_gubernamental_oficial
50BEA374_12,15EE7EA2,mencion_entidad_gubernamental_oficial
50BEA374_12,3A2A7572,mencion_entidad_gubernamental_oficial
50BEA374_12,358D6BAA,mencion_entidad_gubernamental_oficial
50BEA374_13,14C01911,mencion_entidad_gubernamental_oficial
50BEA374_27,11A7BB35,mencion_entidad_gubernamental_oficial
50BEA374_34,6EF1024A,mencion_entidad_gubernamental_oficial
50BEA374_53,3EF0192E,mencion_entidad_gubernamental_oficial
50BEA374_57,3EF0192E,mencion_entidad_gubernamental_oficial
50BEA374_57,3EF0192E,mencion_entidad_gubernamental_oficial
50BEA374_57,3EF0192E,mencion_entidad_gubernamental_oficial
50BEA374_62,E2EEE4C1,mencion_entidad_gubernamental_oficial
50BEA374_68,E2EEE4C1,mencion_entidad_gubernamental_oficial
50BEA374_68,E2EEE4C1,mencion_entidad_gubernamental_oficial
50BEA374_71,358D6BAA,mencion_entidad_gubernamental_oficial
50BEA374_71,E2EEE4C1,mencion_entidad_gubernamental_oficial
50BEA374_73,358D6BAA,mencion_entidad_gubernamental_oficial
50BEA374_73,E2EEE4C1,mencion_entidad_gubernamental_oficial
50BEA374_73,358D6BAA,mencion_entidad_gubernamental_oficial
660CBA22_3,2870C225,mencion_entidad_gubernamental_oficial
660CBA22_13,2870C225,mencion_entidad_gubernamental_oficial
660CBA22_25,2870C225,mencion_entidad_gubernamental_oficial
660CBA22_30,E8E05F97,mencion_entidad_gubernamental_oficial
660CBA22_32,2870C225,mencion_entidad_gubernamental_oficial
660CBA22_34,2870C225,mencion_entidad_gubernamental_oficial
660CBA22_36,2870C225,mencion_entidad_gubernamental_oficial
660CBA22_38,6599D971,mencion_entidad_gubernamental_oficial
660CBA22_48,358D6BAA,mencion_entidad_gubernamental_oficial
660CBA22_48,47DEAC86,mencion_entidad_gubernamental_oficial
660CBA22_49,358D6BAA,mencion_entidad_gubernamental_oficial
660CBA22_49,47DEAC86,mencion_entidad_gubernamental_oficial
660CBA22_69,47DEAC86,mencion_entidad_gubernamental_oficial
660CBA22_81,919DEC37,mencion_entidad_gubernamental_oficial
660CBA22_84,C545AA06,mencion_entidad_gubernamental_oficial
660CBA22_105,2870C225,mencion_entidad_gubernamental_oficial
D61F4C69_2,50B56830,mencion_entidad_gubernamental_oficial
D61F4C69_2,50B56830,mencion_entidad_gubernamental_oficial
D61F4C69_2,625ACAC7,mencion_entidad_gubernamental_oficial
D61F4C69_2,769FDCA1,mencion_entidad_gubernamental_oficial
