art_id,type_of_relation,doc_id
2833199A_45,art_parte_doc,2833199A
2833199A_46,art_parte_doc,2833199A
2833199A_47,art_parte_doc,2833199A
2833199A_48,art_parte_doc,2833199A
2833199A_49,art_parte_doc,2833199A
2833199A_50,art_parte_doc,2833199A
2833199A_51,art_parte_doc,2833199A
2833199A_52,art_parte_doc,2833199A
2833199A_53,art_parte_doc,2833199A
2833199A_54,art_parte_doc,2833199A
2833199A_55,art_parte_doc,2833199A
2833199A_56,art_parte_doc,2833199A
2833199A_57,art_parte_doc,2833199A
2833199A_58,art_parte_doc,2833199A
2833199A_59,art_parte_doc,2833199A
2833199A_60,art_parte_doc,2833199A
2833199A_61,art_parte_doc,2833199A
2833199A_62,art_parte_doc,2833199A
2833199A_63,art_parte_doc,2833199A
2833199A_64,art_parte_doc,2833199A
2833199A_65,art_parte_doc,2833199A
2833199A_66,art_parte_doc,2833199A
2833199A_67,art_parte_doc,2833199A
2833199A_68,art_parte_doc,2833199A
2833199A_69,art_parte_doc,2833199A
2833199A_70,art_parte_doc,2833199A
2833199A_71,art_parte_doc,2833199A
2833199A_72,art_parte_doc,2833199A
2833199A_73,art_parte_doc,2833199A
2833199A_74,art_parte_doc,2833199A
2833199A_75,art_parte_doc,2833199A
2833199A_76,art_parte_doc,2833199A
2833199A_77,art_parte_doc,2833199A
2833199A_78,art_parte_doc,2833199A
2833199A_79,art_parte_doc,2833199A
2833199A_80,art_parte_doc,2833199A
2833199A_81,art_parte_doc,2833199A
2833199A_82,art_parte_doc,2833199A
2833199A_83,art_parte_doc,2833199A
2833199A_84,art_parte_doc,2833199A
2833199A_85,art_parte_doc,2833199A
2833199A_86,art_parte_doc,2833199A
2833199A_87,art_parte_doc,2833199A
2833199A_88,art_parte_doc,2833199A
2833199A_89,art_parte_doc,2833199A
2833199A_90,art_parte_doc,2833199A
2833199A_91,art_parte_doc,2833199A
2833199A_92,art_parte_doc,2833199A
2833199A_93,art_parte_doc,2833199A
2833199A_94,art_parte_doc,2833199A
2833199A_95,art_parte_doc,2833199A
2833199A_96,art_parte_doc,2833199A
